code,industry,year,yearly_open_cum,yearly_high_cum,code_name,volume,turn,isST,peTTM,pbMRQ
sz.300085,I65软件和信息技术服务业,2025,-0.7082142008913843,5.729808512778916,银之杰,27318578.44874156,5.309780883977901,0,-213071.4708065823,15.491011654791155
sh.603516,C39计算机、通信和其他电子设备制造业,2025,-0.3718147536442606,5.726163684096316,淳中科技,5636991.679558011,3.491899723143032,0,125.2592894539312,4.82287542997543
sz.301137,C33金属制品业,2025,-0.6370589597661341,5.718436727362113,哈焊华通,6143432.942285041,9.02319929328622,0,71.28833797759434,2.6505746226415097
sz.301079,C34通用设备制造业,2025,-0.6199959357899015,5.699799800103645,邵阳液压,4798297.237539766,9.67483032873807,0,-165.15692726890757,5.232631855042016
sz.002384,C39计算机、通信和其他电子设备制造业,2025,0.17875336356336624,5.696245609762386,东山精密,45024575.548189074,3.4035268815224065,0,31.308372496928744,2.99921282002457
sh.688226,C38电气机械和器材制造业,2025,-0.0014194338041136068,5.690057222411662,威腾电气,3330048.0421568626,4.298123333333333,0,43.71332925613346,3.2704661736997056
sz.300660,C38电气机械和器材制造业,2025,-0.8698060686466595,5.685431120690103,江苏雷利,6496919.448741559,3.263186468190241,0,28.977127264742013,2.7074437678132677
sz.300835,C39计算机、通信和其他电子设备制造业,2025,-0.6028296095929646,5.677772406996812,龙磁科技,3797304.3665893273,7.296582211910286,0,41.26788864628483,4.229026437306502
sz.300885,C33金属制品业,2025,-0.17788970521868025,5.670589433423737,海昌新材,5573399.804437141,6.27286474938373,0,47.03640647615132,3.7852224399671055
sh.688360,C34通用设备制造业,2025,-0.13780095295462153,5.668671036656705,德马科技,2265434.4491064493,2.810869463869464,0,33.94088651088647,3.1725278903576983
sh.688031,I65软件和信息技术服务业,2025,0.07335279779466292,5.668271490168496,星环科技,3164689.2306610406,5.133324191279888,0,-27.81421833802817,9.529646991549296
sz.300475,F51批发业,2025,-0.013959128772540887,5.658878497978241,香农芯创,9162435.293284042,2.4495459154754506,0,53.41383384705159,4.596297767199017
sh.605488,C29橡胶和塑料制品业,2025,-0.5673583875395499,5.654683684565718,福莱新材,4539717.851606805,5.663510964083176,0,36.66952501135289,3.437080030274361
sz.002664,C36汽车制造业,2025,-0.24147597578216362,5.65336403507181,信质集团,8262982.170656845,2.137341072437078,0,-2.140615781941032,2.1817120995085997
sz.301421,C40仪器仪表制造业,2025,-0.39761752120321886,5.652475858665322,波长光电,6092625.494023904,16.664477290836654,0,147.755801746507,6.402684516966068
sz.300609,I65软件和信息技术服务业,2025,0.5331214128117002,5.652253027604939,汇纳科技,4700676.2699877,4.858358856703568,0,-15.600542822481572,3.7267021400491402
sh.688141,I65软件和信息技术服务业,2025,-0.025217316274621218,5.649068521051785,杰华特,7949547.781297134,4.792393061840121,0,70.57228315407855,7.14230689879154
